protein_a,protein_b,interaction_score
NDUFA9,MT-ND2,0.999
NDUFA9,NDUFV1,0.999
NDUFA9,MT-ND1,0.999
NDUFA9,NDUFA3,0.999
NDUFA9,NDUFB9,0.999
NDUFB10,NDUFS5,0.999
NDUFB10,NDUFS2,0.999
NDUFB10,NDUFV3,0.999
NDUFA9,NDUFB1,0.999
NDUFA9,NDUFB6,0.999
NDUFA9,NDUFS8,0.999
NDUFA9,NDUFA8,0.999
NDUFA9,NDUFS5,0.999
NDUFA9,NDUFB10,0.999
NDUFA9,NDUFV3,0.999
NDUFA9,NDUFB3,0.999
NDUFA9,NDUFS1,0.999
NDUFA9,NDUFAB1,0.999
NDUFB6,NDUFA11,0.999
NDUFB6,NDUFB1,0.999
NDUFA9,NDUFB11,0.999
NDUFA9,NDUFB8,0.999
MT-ND2,NDUFA5,0.999
NDUFC1,NDUFAB1,0.999
NDUFC1,NDUFA6,0.999
NDUFA6,NDUFB1,0.999
NDUFA6,NDUFV1,0.999
NDUFB11,NDUFA3,0.999
NDUFB11,MT-ND2,0.999
NDUFB11,NDUFB3,0.999
NDUFB11,NDUFV2,0.999
NDUFB11,NDUFAB1,0.999
NDUFB9,NDUFA1,0.999
NDUFB11,NDUFS1,0.999
NDUFS8,NDUFA5,0.999
NDUFS8,MT-ND5,0.999
NDUFS8,NDUFAF3,0.999
NDUFS8,NDUFA11,0.999
NDUFS8,NDUFA1,0.999
NDUFS8,NDUFA3,0.999
NDUFB4,NDUFV1,0.999
NDUFB4,MT-ND5,0.999
NDUFB4,NDUFC1,0.999
NDUFB4,NDUFV2,0.999
NDUFB4,NDUFS1,0.999
NDUFB4,NDUFAB1,0.999
MT-ND2,NDUFA13,0.999
MAGI2,PTEN,0.998
NDUFC1,NDUFV1,0.998
NDUFB6,NDUFC1,0.998
NDUFA9,NDUFA1,0.998
NDUFC2,NDUFA11,0.998
NDUFS3,NDUFB1,0.998
NDUFA12,MT-ND4L,0.998
ADAMTSL3,ASTN2,0.998
IRS2,PIK3R1,0.998
MT-ND1,NDUFA11,0.998
MT-ND1,NDUFA3,0.998
BAK1,BCL2L11,0.998
NDUFC2,NDUFV3,0.998
NDUFC2,MT-ND5,0.998
NDUFC2,NDUFA1,0.998
MT-ND1,NDUFB6,0.998
NDUFA1,NDUFC1,0.998
NDUFS4,MT-ND4L,0.998
MT-ND6,NDUFV1,0.998
NDUFAF2,NDUFA12,0.998
NDUFB5,NDUFB2,0.998
NDUFB10,MT-ND4L,0.998
NDUFV2,NDUFB1,0.998
NDUFV2,MT-ND4L,0.998
IL13RA1,TYK2,0.998
NDUFV3,MT-ND1,0.998
MT-ND5,NDUFA3,0.998
NDUFV3,MT-ND4,0.998
NDUFA8,NDUFC1,0.998
NDUFS5,NDUFB1,0.998
BMF,BCL2,0.998
NDUFB9,NDUFB1,0.998
IRS2,IGF1R,0.998
IRS2,INS,0.998
MT-ND4L,NDUFA6,0.998
MT-ND4L,NDUFA8,0.998
MT-ND4L,NDUFA13,0.998
MT-ND3,NDUFA1,0.998
NDUFV3,MT-ND5,0.998
NDUFV3,NDUFB2,0.998
MGAM,AMY2A,0.998
NDUFB4,MT-ND2,0.998
NDUFB7,MT-ND4L,0.998
NDUFB7,NDUFB1,0.998
NDUFB7,NDUFC1,0.998
SORT1,BDNF,0.998
SSPN,DMD,0.998
NDUFA2,MT-ND4L,0.998
NDUFA5,NDUFB1,0.998
NDUFA5,NDUFB2,0.998
NDUFA7,MT-ND5,0.998
NDUFA7,MT-ND4,0.998
NDUFA7,NDUFB1,0.998
NDUFA7,MT-ND1,0.998
NDUFA10,NDUFC1,0.998
NDUFS1,NDUFC1,0.998
NDUFA7,MT-ND2,0.998
NDUFB8,NDUFC1,0.998
NDUFV3,MT-ND2,0.998
NOTCH2,RBPJ,0.998
PNLIP,LIPF,0.998
RBPJ,NCOR2,0.998
MT-ND3,NDUFA11,0.998
NDUFA13,NDUFB1,0.998
NDUFB2,NDUFC1,0.998
NDUFB2,NDUFB1,0.998
MT-ND4L,NDUFS1,0.998
NDUFC2,NDUFA3,0.998
NDUFB9,MT-ND4L,0.998
NDUFB9,NDUFC1,0.998
MT-ND6,NDUFAB1,0.998
MGAM2,AMY2A,0.998
NDUFS6,MT-ND4L,0.998
NDUFS6,NDUFB1,0.998
NDUFS7,MT-ND6,0.998
MT-ND2,NDUFB6,0.998
CTTNBP2,STRN,0.997
NDUFV3,MT-ND3,0.997
NDUFB4,MT-ND3,0.997
MT-ND2,NDUFC1,0.997
MT-ND3,NDUFC1,0.997
MT-ND3,NDUFB6,0.997
NDUFB11,NDUFC1,0.997
NDUFB11,MT-ND3,0.997
NDUFA12,NDUFB1,0.997
NDUFS3,NDUFC1,0.997
MT-ND6,NDUFA3,0.997
MT-ND6,NDUFA1,0.997
NDUFB6,NDUFB2,0.997
NDUFC2,NDUFS1,0.997
ITIH4,SCD5,0.997
NDUFS6,NDUFB2,0.997
NDUFA8,NDUFB2,0.997
NDUFB10,NDUFC1,0.997
NDUFB11,NDUFB2,0.997
NDUFV3,NDUFB1,0.997
NDUFS8,NDUFC1,0.997
NDUFS8,MT-ND6,0.997
MT-ND2,NDUFA3,0.997
NDUFB5,MT-ND3,0.997
NDUFS7,MT-ND4L,0.997
MT-ND2,NDUFS5,0.997
NDUFA13,NDUFC1,0.997
MT-ND4,NDUFA3,0.997
MT-ND5,NDUFB2,0.997
MT-ND2,NDUFB1,0.997
IRS1,IRS2,0.997
NDUFB2,NDUFA13,0.997
CCND1,ESR1,0.997
INSR,IGF1R,0.997
MT-ND2,NDUFA1,0.997
NDUFB5,MT-ND1,0.997
NDUFV2,NDUFB2,0.997
NDUFS4,NDUFC1,0.997
PTEN,PIK3R1,0.997
NDUFA10,MT-ND1,0.997
MED27,MED23,0.997
NDUFAF1,MT-ND2,0.997
NDUFA10,MT-ND6,0.997
NDUFA10,MT-ND5,0.997
NDUFA11,NDUFC1,0.997
NDUFA11,NDUFB1,0.997
NDUFA7,MT-ND3,0.997
NDUFS2,NDUFC1,0.997
NDUFS7,NDUFC1,0.997
SCARB2,TLR4,0.996
GRB14,INSR,0.996
NDUFA12,NDUFB2,0.996
NDUFC2,NDUFB2,0.996
NDUFC2,MT-ND3,0.996
MT-ND4L,NDUFB6,0.996
NDUFS7,NDUFB1,0.996
NDUFS1,NDUFB1,0.996
NDUFB8,NDUFA4,0.996
NDUFAF1,MT-ND1,0.996
NDUFS4,NDUFB1,0.996
NDUFAF2,NDUFS4,0.996
NDUFB5,MT-ND6,0.996
NDUFB5,NDUFA4,0.996
NDUFS4,NDUFB2,0.996
NCOR2,PPARA,0.996
NDUFA11,NDUFB2,0.996
NDUFS3,NDUFB2,0.996
NDUFS7,NDUFAF1,0.996
NDUFS7,NDUFB2,0.996
ACVR2A,ACVR1C,0.996
IGF2BP2,HMGA2,0.996
HSPA4,TLR4,0.996
NDUFA3,NDUFB1,0.996
NDUFS2,NDUFB1,0.996
NDUFB2,NDUFV1,0.996
DMD,SNTB1,0.996
NDUFS2,NDUFB2,0.996
NDUFA3,NDUFB2,0.996
MT-ND3,NDUFS5,0.996
NDUFS8,NDUFB2,0.996
NDUFB4,MT-ND1,0.996
GRB10,IGF1R,0.996
CTTNBP2,STK24,0.995
NDUFS4,MT-ND6,0.995
MT-ND4,NDUFC1,0.995
NDUFA9,MT-ND6,0.995
NDUFA9,NDUFB2,0.995
NDUFAF4,NDUFS5,0.995
NDUFA4,NDUFA5,0.995
ACVR2A,INHBB,0.995
NDUFAF3,NDUFS5,0.995
MT-ND5,NDUFC1,0.995
NDUFC2,MT-ND1,0.995
MT-ND6,NDUFS1,0.995
NDUFB1,NDUFV1,0.995
NDUFS5,NDUFB2,0.995
ATP5F1E,ATP5MC1,0.995
NDUFS3,NDUFAF4,0.995
NDUFA4,NDUFA1,0.995
NDUFAF1,NDUFA8,0.995
PCBD1,HNF1A,0.995
NDUFA10,NDUFB1,0.995
MT-ND6,NDUFS2,0.995
NDUFC1,NDUFB1,0.995
MT-ND6,NDUFB6,0.995
NDUFV2,MT-ND6,0.995
NDUFS5,NDUFC1,0.995
TAL1,LDB2,0.995
APOE,APOA4,0.995
ZC3H13,MED23,0.995
TH,DDC,0.995
NDUFS8,NDUFB1,0.995
NDUFB9,NDUFA4,0.995
NDUFS1,NDUFB2,0.995
NDUFAF1,MT-ND3,0.995
NDUFB8,NDUFB1,0.995
ALDH2,ADH1B,0.995
MT-ND1,NDUFC1,0.995
MED27,QKI,0.994
MT-ND3,NDUFB2,0.994
PIK3R1,IGF1R,0.994
ESR1,PIK3R1,0.994
ZC3H13,MED27,0.994
CCND1,CDKN1C,0.994
NDUFA4,NDUFB3,0.994
MT-ND1,NDUFB2,0.994
ANGPTL4,LPL,0.994
CCND2,CDKN1C,0.994
NEUROD1,TCF12,0.994
QKI,MED23,0.994
MT-ND4,NDUFB2,0.994
TBC1D4,AKT2,0.994
MT-ND2,NDUFB2,0.994
ATP1B2,ATP1A2,0.993
NDUFA2,MT-ND6,0.993
SMAD3,MYC,0.993
MAST2,PTEN,0.993
NDUFB5,NDUFAF1,0.993
NDUFA9,MT-ND4L,0.993
BOC,PTCH1,0.993
NDUFA9,NDUFC1,0.993
SI,AMY2A,0.993
MT-ND6,NDUFA11,0.993
NCOR2,ESR1,0.993
NDUFA7,NDUFA4,0.993
NDUFB4,NDUFA4,0.993
MT-ND6,NDUFA13,0.993
MT-ND5,NDUFB1,0.992
CFTR,GOPC,0.992
MT-ND6,NDUFA8,0.992
FGFR4,KL,0.992
NDUFAF2,NDUFS8,0.992
NDUFAF2,NDUFV2,0.992
TCF4,TCF12,0.992
NDUFAF2,NDUFS1,0.992
FXR1,FMR1,0.992
IRS1,MTOR,0.992
NR2F1,BCL11B,0.991
NDUFV3,MT-ND6,0.991
NDUFB8,MT-ND6,0.991
NDUFV2,NDUFA4,0.991
NDUFA4,NDUFB6,0.991
NDUFS2,NDUFAF4,0.991
IL1B,IL10,0.991
RAMP3,RAMP2,0.991
ACVR1C,INHBB,0.991
DNMT3A,MYC,0.991
NDUFB5,MT-ND4L,0.991
MT-ND3,NDUFB1,0.991
DRD2,CNR1,0.99
NDUFA10,MT-ND4L,0.99
NDUFAF2,NDUFV1,0.99
NDUFS4,NDUFA4,0.99
WIPI1,ATG16L1,0.99
CCND2,RBL2,0.99
TLR4,TRAF3,0.99
SSPN,DTNA,0.99
NDUFA4,NDUFB2,0.99
RSPO3,ZNRF3,0.99
NDUFA4,NDUFAB1,0.99
GDF6,BMPR1B,0.989
CCND1,CDKN2C,0.989
NDUFA4,NDUFA13,0.989
HTT,PRPF40A,0.989
NDUFS8,NDUFA4,0.989
MT-ND6,NDUFA5,0.989
NDUFS3,NDUFA4,0.989
NDUFAF1,NDUFS2,0.989
NDUFB8,MT-ND4L,0.989
GCK,G6PC2,0.989
NDUFB10,NDUFA4,0.989
NDUFA4,NDUFA8,0.989
NDUFC2,MT-ND6,0.989
SGCG,SSPN,0.989
NDUFAF1,NDUFAF4,0.988
NDUFB11,MT-ND6,0.988
KDM2B,BCORL1,0.988
DMD,DTNA,0.988
MRPL11,NDUFAB1,0.988
DCN,TLR4,0.988
NDUFAF1,MT-ND5,0.988
HNF4A,HNF1A,0.988
NDUFB4,MT-ND4L,0.988
MT-ND4L,NDUFA3,0.988
NDUFA10,NDUFA4,0.988
NDUFA4,NDUFS2,0.988
NDUFA4,NDUFV1,0.988
MT-ND1,NDUFB1,0.988
IGF2BP1,MYC,0.988
TRAF3IP2,TRAF3,0.988
NDUFB9,MT-ND6,0.988
NDUFA9,NDUFA4,0.988
INSR,PIK3R1,0.988
NDUFS8,NDUFAF4,0.988
NDUFB11,MT-ND4L,0.988
NDUFC2,NDUFA4,0.988
NDUFB10,MT-ND6,0.988
NDUFA12,MT-ND6,0.988
NDUFS6,MT-ND6,0.988
NDUFS6,NDUFA4,0.988
NDUFAF1,NDUFB6,0.987
NDUFAF1,NDUFS6,0.987
NDUFB4,MT-ND6,0.987
NDUFB7,MT-ND6,0.987
MT-ND4L,NDUFC1,0.987
NDUFAF2,NDUFAF4,0.987
NDUFAF1,NDUFV1,0.987
NDUFAF2,NDUFS2,0.987
NDUFB11,NDUFA4,0.987
MT-ND6,NDUFA6,0.987
ACVR2A,BMPR1B,0.987
MT-ND6,NDUFC1,0.987
NDUFV3,MT-ND4L,0.987
PCBD1,TH,0.987
IL12B,IL23R,0.986
MT-ND6,NDUFB3,0.986
MT-ND4L,NDUFB3,0.986
NDUFAF1,NDUFS8,0.986
MT-ND4L,NDUFA1,0.986
IL1B,TLR4,0.986
NDUFA4,NDUFA3,0.986
DDX58,TRAF3,0.986
NDUFAF1,NDUFA6,0.985
NDUFAF1,NDUFB9,0.985
NDUFA10,NDUFAF1,0.985
NDUFS7,NDUFAF2,0.985
MT-ND4L,NDUFS5,0.985
NDUFC2,MT-ND4L,0.985
LEP,INS,0.985
NDUFAF1,NDUFAB1,0.985
MGAM2,MGAM,0.985
NDUFAF1,NDUFB10,0.985
NDUFAF1,NDUFS4,0.985
NDUFAF1,NDUFV2,0.985
NDUFA7,MT-ND6,0.984
NDUFAF1,NDUFB3,0.984
NDUFA2,NDUFAF2,0.984
HDAC4,MEF2C,0.984
NDUFS6,NDUFAF2,0.984
SGCG,DMD,0.984
MT-ND4L,NDUFA11,0.984
GDF7,BMPR1B,0.984
IGF2BP3,IGF2BP1,0.984
NDUFA4,NDUFB1,0.984
NDUFAF1,NDUFA1,0.984
ANK1,TTN,0.984
TLE1,TLE4,0.983
NDUFA4,NDUFS1,0.983
TFEB,MTOR,0.983
INSR,GRB10,0.983
NDUFS7,NDUFA4,0.983
SMAD3,SKI,0.983
NDUFA2,NDUFAF1,0.983
NDUFAF1,NDUFB8,0.983
AGTR2,AGTR1,0.982
MRPL11,MRPS30,0.982
KDM5A,ARNTL,0.982
NDUFS3,NDUFAF2,0.982
PPARG,SREBF1,0.982
NDUFA4,NDUFC1,0.982
APOE,LPL,0.982
NDUFA7,MT-ND4L,0.982
NDUFA4,NDUFS5,0.982
ESR1,MYC,0.982
NDUFB7,NDUFA4,0.982
AP3B1,AP3S2,0.981
MAP2K7,MAP3K1,0.981
RBL2,PPP1R3A,0.981
COMT,DDC,0.981
NDUFAF4,NDUFA5,0.981
LIPC,LIPF,0.98
FST,INHBB,0.98
NDUFAF1,MT-ND4,0.98
APOE,ABCA1,0.98
NDUFA4,NDUFA11,0.98
NEUROG3,PAX4,0.98
NOS2,ARG1,0.98
NDUFAF1,NDUFA5,0.979
AKT2,PIK3R1,0.979
ACVR2A,SMAD3,0.979
IL23R,TYK2,0.979
NDUFAF1,NDUFC1,0.979
PIK3R1,PLCG2,0.979
NFATC2,NFATC1,0.979
NDUFA4,NDUFV3,0.979
NDUFAF1,NDUFA7,0.978
FXYD2,ATP1A2,0.978
PRKN,UBE2E2,0.978
NDUFAF1,NDUFV3,0.978
NDUFAF1,NDUFA3,0.978
CTBP1,TCF7L2,0.977
NDUFAF1,NDUFB2,0.977
RPTOR,AKT2,0.976
MT-ND6,NDUFB1,0.976
NDUFAF1,NDUFA9,0.976
NDUFAF1,NDUFA11,0.976
TFEB,MITF,0.976
EBF1,TET2,0.976
NDUFB4,NDUFAF1,0.976
NDUFB9,NDUFAF2,0.976
PPP3CA,NFATC2,0.975
MT-ND4L,NDUFB2,0.975
NDUFAF1,NDUFC2,0.975
LIN7A,PATJ,0.975
WIPI1,TECPR1,0.974
ACE,AGTR1,0.974
NDUFB7,NDUFAF1,0.974
MT-ND6,NDUFB2,0.974
NDUFAF2,NDUFV3,0.974
FANCL,UBE2W,0.974
CCND1,CDKN2B,0.974
IL1B,PTGS2,0.974
CPA1,CTRB1,0.973
GIGYF1,GRB10,0.973
NDUFAF2,MT-ND1,0.973
KCNQ1,SCN5A,0.973
PRIM1,REV3L,0.972
IL2RA,IL10,0.972
DDC,AOC1,0.972
PTCH1,GLI2,0.972
KIF11,PRC1,0.972
APOE,LPA,0.971
NDUFAF2,NDUFB8,0.971
LIPF,LPL,0.971
HSPA4,PRKN,0.971
NDUFAF2,MT-ND3,0.97
IL23R,IL10,0.97
SPRY2,BRAF,0.97
IL1B,HMGB1,0.97
CCND1,CDC25A,0.97
CTBP1,RBPJ,0.969
HHIP,PTCH1,0.969
CCND1,MYC,0.969
ACVR2A,GDF7,0.969
MAEA,WDR26,0.969
NOTCH2,MAML2,0.968
PCGF3,ZNRF3,0.968
NDUFAF2,NDUFA1,0.968
NDUFAF2,NDUFA5,0.968
PDX1,FOXA2,0.968
CTBP1,KLF8,0.968
MTOR,AKT2,0.967
NEUROG3,ONECUT1,0.967
GBA2,ASAH1,0.967
CHMP4B,SNF8,0.967
DNMT3A,UHRF1,0.967
USP28,FBXW7,0.966
ATP1B2,FXYD2,0.966
NOTCH2,MAML3,0.966
USP28,MYC,0.966
MTOR,IRS2,0.966
FGFR3,KL,0.966
CCND1,RBL2,0.966
PDX1,INS,0.966
CDKN2B,MYC,0.966
DPP4,GLP1R,0.965
GCK,PDX1,0.965
NDUFAF2,NDUFAF3,0.965
NDUFAF2,MT-ND4,0.965
ISL1,LDB2,0.965
MRAS,BRAF,0.965
PPARG,MTOR,0.964
RAMP3,RAMP1,0.964
NDUFA4,MT-ND1,0.964
NLGN1,NRXN3,0.964
CCND2,CDKN2C,0.963
RAMP2,RAMP1,0.963
NDUFAF1,NDUFA4,0.963
NDUFAF2,NDUFA6,0.963
SMAD3,HMGA2,0.963
IRS1,LEP,0.963
ONECUT1,FOXA2,0.963
ACVR1C,SMAD3,0.963
PCM1,PCNT,0.963
CCND2,CDKN2B,0.962
BMP8A,BMPR1B,0.962
ACADS,PCCB,0.962
NDUFA4,MT-ND3,0.961
GCK,SLC2A2,0.961
ACVR2A,GDF6,0.961
ERBB4,ESR1,0.961
NDUFAF2,MT-ND5,0.961
ZFPM2,PIK3R1,0.961
HNF1A,HNF1B,0.961
NDUFA4,MT-ND4,0.961
ACVR2A,BMP8A,0.96
MT-ND4L,NDUFB1,0.96
DDX58,IFIH1,0.96
PPP2R2A,PPP3CA,0.96
IRS1,SOCS2,0.96
NDUFV2,NDUFAF4,0.96
NDUFAF1,NDUFAF2,0.959
NDUFAF2,NDUFA7,0.959
RPTOR,TFEB,0.959
ETS2,ETS1,0.958
IL10,TYK2,0.958
CCND1,BCL2,0.958
NDUFS6,NDUFAF4,0.958
NDUFS4,NDUFAF4,0.958
NDUFAF1,NDUFAF6,0.958
HSPA4,HTT,0.958
LIPC,LPL,0.957
NDUFAF2,MT-ND2,0.957
NDUFB7,NDUFAF2,0.957
P2RY1,P2RY12,0.957
HNF4A,SMAD3,0.957
PTPN22,PSTPIP1,0.957
PTEN,PIP4K2A,0.957
VPS37D,UBAP1,0.956
GAA,AMY2A,0.956
CDKN1B,AKT2,0.956
MT-ND1,NDUFAF4,0.956
NDUFAF2,NDUFB3,0.956
HMGCR,SREBF1,0.956
HSD17B12,CYP19A1,0.956
CDKN1B,CDKN2C,0.956
PNPLA3,LIPC,0.956
ONECUT1,HNF1B,0.956
MTOR,PIK3R1,0.956
NDUFAF2,NDUFA13,0.955
CCND2,CDC25A,0.955
BACH2,MAFF,0.955
RUNX3,ZFHX3,0.955
BCL2,MYC,0.955
KCNQ1,KCNJ12,0.954
ST8SIA4,NCAM1,0.954
SMAD3,RUNX3,0.954
NDUFAF3,NDUFA5,0.954
SLC2A2,HNF1A,0.954
SMAD3,BMPR1B,0.954
IL1B,IL13,0.953
HCN4,SCN5A,0.953
NDUFAF4,NDUFA1,0.953
NDUFA2,NDUFAF3,0.953
NDUFAF4,NDUFV1,0.953
PIK3C2B,PIK3R1,0.953
KDM4B,JMJD1C,0.952
NDUFA2,NDUFAF4,0.952
IL13,IL10,0.952
PPP2R3A,PPP2R2A,0.951
IFNLR1,TYK2,0.951
GSE1,HMG20A,0.951
ARG1,NOS1,0.951
NDUFB5,NDUFAF4,0.951
NDUFAF4,NDUFS1,0.951
CTBP1,ZEB2,0.951
KCNQ1,ADCY9,0.95
KCNQ1,SLC12A2,0.95
CDC25A,MYC,0.95
CTBP1,PSAT1,0.95
NDUFAF2,NDUFA8,0.95
CNTN2,NCAM1,0.95
PPARG,SMAD3,0.95
AKT2,BCL2,0.95
NDUFAF1,NDUFB1,0.949
NDUFA4,MT-ND2,0.949
SORT1,CELSR2,0.949
GCK,ABCC8,0.949
CTRB2,CTRB1,0.949
ADRA1B,ADRA1D,0.949
NDUFB10,NDUFAF2,0.948
SNF8,UBAP1,0.948
NDUFA4,MT-ND5,0.948
PPARG,LEP,0.948
ERBB4,PIK3R1,0.948
ACE,AGTR2,0.948
INHBB,BMPR1B,0.948
NPC1,GP2,0.948
PNPLA3,PNLIP,0.948
PIK3R1,GRB10,0.948
NDUFS6,NDUFAF3,0.948
SOS2,MRAS,0.948
STRN,ESR1,0.947
NDUFAF3,MT-ND1,0.947
TAL1,TCF4,0.947
NDUFS4,NDUFAF3,0.947
PTGS1,PTGS2,0.946
FGFR4,INS,0.946
YKT6,SEC22A,0.946
SNTB1,DTNA,0.946
NDUFAF4,NDUFA3,0.946
CDKN1B,CDKN1C,0.946
KL,IGF1R,0.946
DNMT3A,TET2,0.946
GCK,INS,0.945
NEUROD1,PAX4,0.945
INS,GRB10,0.945
HDAC4,SMAD3,0.944
PCNT,CEP192,0.944
ITGA1,ITGA11,0.944
PPARG,INS,0.944
SCN4A,SCN2A,0.944
LAMC1,LAMA1,0.944
MC4R,FTO,0.944
MC4R,LEP,0.944
VPS37D,SNF8,0.943
SI,GAA,0.943
PTEN,BRAF,0.943
APOE,LIPC,0.943
PLXND1,NRP2,0.943
TLR4,IL10,0.943
DRD4,DRD3,0.943
MRPS30,NDUFAB1,0.943
NDUFAF2,MT-ND6,0.943
DACH1,EYA1,0.942
CCND1,CCND2,0.942
NOS2,AKT2,0.942
NDUFAF3,NDUFV2,0.942
G6PC2,HK1,0.942
SLC2A2,INS,0.942
GAA,MGAM,0.942
DRD4,COMT,0.942
MTOR,PTEN,0.942
LDB2,LHX2,0.941
NDUFA12,NDUFAF4,0.941
PPARG,LPL,0.941
NDUFAF2,NDUFAB1,0.941
GRM8,GRM4,0.941
PIK3C2B,PTEN,0.941
SI,MGAM2,0.941
PNPLA3,LPL,0.94
OASL,IFIH1,0.94
CAMK2G,CAMK2B,0.94
PPP1R3A,PPP1R3B,0.94
NOS2,NOS1,0.939
CPA1,CTRB2,0.939
MON1B,RMC1,0.939
ALDH2,AOC1,0.939
EBF1,LHX2,0.938
NDUFAF3,NDUFV1,0.938
ERBB4,PLCG2,0.938
JAG1,RBPJ,0.938
GNPDA2,HK1,0.938
NDUFAF3,NDUFA1,0.938
DHFR2,TH,0.937
TLE1,TCF4,0.937
PPARG,RPTOR,0.937
NDUFAF4,NDUFA8,0.937
NT5C2,ADA,0.937
SOS2,FGFR3,0.937
MAML3,MAML2,0.937
CTBP1,HNF4A,0.936
NDUFB9,NDUFAF3,0.936
NDUFB8,NDUFAF3,0.936
UBE2E2,UBE2E3,0.936
ADH1B,COMT,0.936
PRKN,FBXW7,0.936
TBL2,MLXIPL,0.935
LIPC,PNLIP,0.935
HHEX,SLC30A8,0.934
MRAS,MAP3K1,0.934
CACNA1D,INS,0.934
ALDH2,GAD1,0.933
FGFR3,INS,0.933
YTHDC2,ZC3H13,0.932
ID4,TCF4,0.932
NDUFAF4,NDUFA11,0.932
HSD17B12,SCD5,0.932
HSPA4,ESR1,0.931
PDE3B,ENPP3,0.931
IRS1,KL,0.931
PTEN,PLCG2,0.931
NEUROD1,TCF4,0.931
GNPDA2,NEGR1,0.931
GCK,NEUROD1,0.93
CHMP4B,VPS37D,0.93
SMAD3,NFATC2,0.93
NDUFAF2,NDUFA11,0.93
NDUFB5,NDUFAF2,0.929
CHMP4B,UBAP1,0.929
MFHAS1,PPP1R3B,0.929
NDUFAF3,NDUFA11,0.929
DMD,NOS1,0.929
HNF4A,TCF7L2,0.928
DGKB,ADCY5,0.928
SOS2,RASGRP1,0.928
PNPLA3,SAMM50,0.928
IFNLR1,IL10,0.928
IRS2,SOCS2,0.928
ACSL1,LPL,0.928
ONECUT1,PDX1,0.928
NDUFAF3,MT-ND2,0.928
PPP2R2A,PPP2R2C,0.927
MT-ND2,NDUFAF4,0.927
NDUFB7,NDUFAF3,0.927
NDUFAF3,NDUFS1,0.927
BMPR1B,RGMA,0.927
CYP19A1,ESR1,0.927
SGCG,SNTB1,0.927
PTEN,MAGI1,0.926
NDUFB5,NDUFAF3,0.926
CDKAL1,SLC30A8,0.926
NDUFAF4,NDUFAF6,0.926
IRS2,KL,0.926
TRAF3,IFIH1,0.926
GTF2IRD1,GTF2I,0.926
TLR4,PIK3R1,0.925
CFTR,HSPA4,0.925
CDKAL1,HHEX,0.925
INS,PDGFC,0.925
MBOAT1,PISD,0.925
CTRB1,PNLIP,0.925
MT-ND3,NDUFAF4,0.924
NDUFAF4,NDUFB3,0.924
HCN4,SCN2A,0.924
CDKN1B,DTL,0.924
PDE4B,ENPP1,0.924
MBNL1,QKI,0.924
COMT,DRD2,0.924
NDUFB11,NDUFAF3,0.923
HNF4A,TLE1,0.923
NMI,MYC,0.923
XDH,NOS1,0.923
NDUFAF3,NDUFA6,0.923
PNPLA3,LIPF,0.922
IL10,CTLA4,0.922
MAGI2,MAGI1,0.922
KDM4B,ESR1,0.922
SOS2,FGFR4,0.922
MT-ND4,NDUFAF4,0.922
DCN,ERBB4,0.922
NDUFAF3,NDUFA3,0.922
CNR1,ADCY5,0.922
MGAM,HK1,0.922
PNLIP,LPL,0.922
HNF4A,MYC,0.921
MTOR,FBXW7,0.921
GUCY1B1,NOS1,0.921
PPP2R2A,BCL2,0.921
NDUFB10,NDUFAF4,0.921
PIP4K2A,PIK3R1,0.921
SCN5A,CAMK2B,0.92
IRS1,GRB10,0.92
MT-ND6,NDUFAF4,0.92
APOE,INS,0.92
CCND1,HDAC4,0.92
MRAS,PIK3R1,0.919
PPARD,NCOR2,0.919
COMT,BDNF,0.919
FRMD4A,CYTH1,0.919
PDE3B,PDE3A,0.919
JAG1,HEY2,0.918
KCNQ1,CDKN1C,0.918
INSR,SOCS2,0.918
PDE3B,AKT2,0.918
HMGCR,NPC1L1,0.918
CACNA1D,PPP3CA,0.918
CACNA1D,NOS1,0.918
NDUFAF4,NDUFAB1,0.918
PAX4,INS,0.918
SCARB2,TFRC,0.917
NDUFA12,NDUFA4L2,0.917
GCK,HK1,0.917
SI,HK1,0.917
ACTN1,MAGI1,0.917
GLP2R,GLP1R,0.916
PNPLA3,TM6SF2,0.916
ONECUT1,HNF1A,0.916
MGAM2,HK1,0.916
NCOR2,HDAC9,0.916
FGFR3,PLCG2,0.916
NDUFB11,NDUFAF4,0.915
GPD2,GPAT4,0.915
CAMK2B,NOS1,0.915
NDUFAF3,MT-ND3,0.915
PDE4B,ENPP3,0.914
DCAF5,DTL,0.914
IGF2BP2,FTO,0.914
NDUFA10,NDUFAF2,0.914
PACRG,PRKN,0.914
KLHL21,KLHL42,0.914
NDUFAF2,NDUFAF6,0.913
ENPP3,PDE1A,0.913
PPP2R3A,BCL2,0.912
GAA,HK1,0.912
PPP3CA,PLCG2,0.912
ADCY1,CNR1,0.912
INS,SLC30A8,0.912
INSR,KL,0.911
PCSK1,INS,0.911
PDE1A,ENPP1,0.911
NDUFC2,NDUFAF4,0.911
CTSH,BCL2,0.911
MTNR1B,ADCY5,0.911
NT5C2,ENPP3,0.91
HMGCR,PCSK9,0.91
NDUFB8,ATP5MC1,0.91
CFTR,SLC26A9,0.91
PLCG2,IGF1R,0.91
G6PC2,INS,0.91
ENPP3,ENPP1,0.909
INS,ABCC8,0.909
IGF2BP3,HMGA2,0.909
SLC5A2,DPP4,0.909
